Feature,Importance
mean abs simul. packing efficiency,0.49747704674048976
MagpieData mean NUnfilled,0.08285302671160248
frac d valence electrons,0.06611285412292539
0-norm,0.04799738217330592
2-norm,0.02272351891737482
dist from 1 clusters |APE| < 0.010,0.020739497689768266
MagpieData mean NpUnfilled,0.020651814348112217
MagpieData mean GSvolume_pa,0.020335810542235096
MagpieData mean CovalentRadius,0.017930025762931037
MagpieData mean NdUnfilled,0.01652688194326274
MagpieData mean GSmagmom,0.014633694195779978
MagpieData mean SpaceGroupNumber,0.014263685198055886
MagpieData mean NValence,0.01071186316632683
MagpieData mean NsUnfilled,0.01056742863263295
band center,0.010554105612163066
MagpieData mean MendeleevNumber,0.009430007208432175
MagpieData mean NdValence,0.008430297964315596
MagpieData mean Electronegativity,0.008421887916208945
MagpieData mean Row,0.008222736200940951
frac p valence electrons,0.007625328373548069
MagpieData mean AtomicWeight,0.007453140335260912
MagpieData mean MeltingT,0.007270328604727262
MagpieData mean NfUnfilled,0.006287907703961094
mean simul. packing efficiency,0.006265814403000321
3-norm,0.0061976030728626156
frac s valence electrons,0.005967628428834898
7-norm,0.00514651277592671
dist from 3 clusters |APE| < 0.010,0.004724486884002439
MagpieData mean Column,0.004482203718129856
5-norm,0.0032429265647614183
MagpieData mean NsValence,0.0032360519710060366
avg s valence electrons,0.002962123729882082
transition metal fraction,0.002704845353783224
dist from 5 clusters |APE| < 0.010,0.002698549780197593
max ionic char,0.0023557799638438443
10-norm,0.0021069587303871014
avg p valence electrons,0.0016731056117571344
frac f valence electrons,0.0013121835798389837
HOMO_energy,0.0011807719318427392
MagpieData mean Number,0.001178151738087191
MagpieData mean NfValence,0.0011698776417116002
MagpieData mean GSbandgap,0.0010418229730644807
avg f valence electrons,0.0008519892686404235
MagpieData mean NpValence,0.000726222604848876
avg d valence electrons,0.0006994451481669424
LUMO_energy,0.000474576669203722
avg ionic char,0.0003728187906422638
compound possible,4.88780343054231e-06
gap_AO,2.3907977855921704e-06
HOMO_character,0.0
LUMO_element,0.0
LUMO_character,0.0
HOMO_element,0.0
